01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2005,Portugal,,25-34,,, pessoas,,116743.8
2005,Portugal,,35-44,,, pessoas,,94816.6
2005,Portugal,,45-54,,, pessoas,,94584.7
2005,Portugal,,55 ou mais anos,,, pessoas,,93430.0
2005,Portugal,,Menos de 25 anos,,, pessoas,,66538.3
2005,Portugal,,Total,,, pessoas,,466113.3
2006,Portugal,,25-34,,, pessoas,,110422.9
2006,Portugal,,35-44,,, pessoas,,91770.5
2006,Portugal,,45-54,,, pessoas,,94980.6
2006,Portugal,,55 ou mais anos,,, pessoas,,91324.5
2006,Portugal,,Menos de 25 anos,,, pessoas,,59479.2
2006,Portugal,,Total,,, pessoas,,447977.7
2007,Portugal,,25-34,,, pessoas,,94235.3
2007,Portugal,,35-44,,, pessoas,,80588.3
2007,Portugal,,45-54,,, pessoas,,87818.8
2007,Portugal,,55 ou mais anos,,, pessoas,,82507.4
2007,Portugal,,Menos de 25 anos,,, pessoas,,52722.3
2007,Portugal,,Total,,, pessoas,,397871.9
2008,Portugal,,25-34,,, pessoas,,88326.3
2008,Portugal,,35-44,,, pessoas,,79182.8
2008,Portugal,,45-54,,, pessoas,,86290.7
2008,Portugal,,55 ou mais anos,,, pessoas,,77787.2
2008,Portugal,,Menos de 25 anos,,, pessoas,,50608.3
2008,Portugal,,Total,,, pessoas,,382195.3
2009,Portugal,,25-34,,, pessoas,,113123.4
2009,Portugal,,35-44,,, pessoas,,105402.1
2009,Portugal,,45-54,,, pessoas,,108101.2
2009,Portugal,,55 ou mais anos,,, pessoas,,88400.4
2009,Portugal,,Menos de 25 anos,,, pessoas,,63359.8
2009,Portugal,,Total,,, pessoas,,478386.8
2010,Portugal,,25-34,,, pessoas,,125119.2
2010,Portugal,,35-44,,, pessoas,,122906.3
2010,Portugal,,45-54,,, pessoas,,124386.1
2010,Portugal,,55 ou mais anos,,, pessoas,,98018.9
2010,Portugal,,Menos de 25 anos,,, pessoas,,64303.2
2010,Portugal,,Total,,, pessoas,,534733.7
2011,Portugal,,25-34,,, pessoas,,118959.8
2011,Portugal,,35-44,,, pessoas,,122873.1
2011,Portugal,,45-54,,, pessoas,,124870.2
2011,Portugal,,55 ou mais anos,,, pessoas,,99243.5
2011,Portugal,,Menos de 25 anos,,, pessoas,,60814.9
2011,Portugal,,Total,,, pessoas,,526761.4
2012,Portugal,,25-34,,, pessoas,,147293.7
2012,Portugal,,35-44,,, pessoas,,152804.6
2012,Portugal,,45-54,,, pessoas,,146577.5
2012,Portugal,,55 ou mais anos,,, pessoas,,110171.3
2012,Portugal,,Menos de 25 anos,,, pessoas,,77597.8
2012,Portugal,,Total,,, pessoas,,634444.9
2013,Portugal,,25-34,,, pessoas,,148438.2
2013,Portugal,,35-44,,, pessoas,,160048.3
2013,Portugal,,45-54,,, pessoas,,157999.1
2013,Portugal,,55 ou mais anos,,, pessoas,,122430.3
2013,Portugal,,Menos de 25 anos,,, pessoas,,82800.6
2013,Portugal,,Total,,, pessoas,,671716.4
2014,Portugal,,25-34,,, pessoas,,121791.3
2014,Portugal,,35-44,,, pessoas,,138318.6
2014,Portugal,,45-54,,, pessoas,,144790.3
2014,Portugal,,55 ou mais anos,,, pessoas,,125041.4
2014,Portugal,,Menos de 25 anos,,, pessoas,,74624.5
2014,Portugal,,Total,,, pessoas,,604566.1
2015,Portugal,,25-34,,, pessoas,,103031.8
2015,Portugal,,35-44,,, pessoas,,115212.6
2015,Portugal,,45-54,,, pessoas,,125930.5
2015,Portugal,,55 ou mais anos,,, pessoas,,119169.3
2015,Portugal,,Menos de 25 anos,,, pessoas,,63993.5
2015,Portugal,,Total,,, pessoas,,527337.1
2016,Portugal,,25-34,,, pessoas,,95370.7
2016,Portugal,,35-44,,, pessoas,,105168.3
2016,Portugal,,45-54,,, pessoas,,115882.4
2016,Portugal,,55 ou mais anos,,, pessoas,,116412.9
2016,Portugal,,Menos de 25 anos,,, pessoas,,58743.0
2016,Portugal,,Total,,, pessoas,,491577.0
2017,Portugal,,25-34,,, pessoas,,75805.3
2017,Portugal,,35-44,,, pessoas,,84591.5
2017,Portugal,,45-54,,, pessoas,,93857.8
2017,Portugal,,55 ou mais anos,,, pessoas,,107281.7
2017,Portugal,,Menos de 25 anos,,, pessoas,,45595.9
2017,Portugal,,Total,,, pessoas,,407132.1
2018,Portugal,,25-34,,, pessoas,,59685.5
2018,Portugal,,35-44,,, pessoas,,68553.8
2018,Portugal,,45-54,,, pessoas,,74786.6
2018,Portugal,,55 ou mais anos,,, pessoas,,95315.1
2018,Portugal,,Menos de 25 anos,,, pessoas,,34368.2
2018,Portugal,,Total,,, pessoas,,332709.2
2019,Portugal,,25-34,,, pessoas,,52200.6
2019,Portugal,,35-44,,, pessoas,,59393.3
2019,Portugal,,45-54,,, pessoas,,63678.7
2019,Portugal,,55 ou mais anos,,, pessoas,,86453.8
2019,Portugal,,Menos de 25 anos,,, pessoas,,29769.5
2019,Portugal,,Total,,, pessoas,,291495.8
2020,Portugal,,25-34,,, pessoas,,74612.2
2020,Portugal,,35-44,,, pessoas,,75972.8
2020,Portugal,,45-54,,, pessoas,,76169.0
2020,Portugal,,55 ou mais anos,,, pessoas,,92763.0
2020,Portugal,,Menos de 25 anos,,, pessoas,,40523.6
2020,Portugal,,Total,,, pessoas,,360040.5
2021,Portugal,,25-34,,, pessoas,,73678.4
2021,Portugal,,35-44,,, pessoas,,74347.8
2021,Portugal,,45-54,,, pessoas,,75968.9
2021,Portugal,,55 ou mais anos,,, pessoas,,97665.6
2021,Portugal,,Menos de 25 anos,,, pessoas,,39756.7
2021,Portugal,,Total,,, pessoas,,361417.4
2022,Portugal,,25-34,,, pessoas,,54194.1
2022,Portugal,,35-44,,, pessoas,,56408.8
2022,Portugal,,45-54,,, pessoas,,60070.1
2022,Portugal,,55 ou mais anos,,, pessoas,,86907.6
2022,Portugal,,Menos de 25 anos,,, pessoas,,29810.3
2022,Portugal,,Total,,, pessoas,,287390.8
2023,Portugal,,25-34,,, pessoas,,56642.8
2023,Portugal,,35-44,,, pessoas,,56669.3
2023,Portugal,,45-54,,, pessoas,,59353.5
2023,Portugal,,55 ou mais anos,,, pessoas,,84270.0
2023,Portugal,,Menos de 25 anos,,, pessoas,,30968.8
2023,Portugal,,Total,,, pessoas,,287904.4
2009,Abrantes,Município,25-34,,, pessoas,,589.7
2009,Abrantes,Município,35-44,,, pessoas,,439.2
2009,Abrantes,Município,45-54,,, pessoas,,424.8
2009,Abrantes,Município,55 ou mais anos,,, pessoas,,379.3
2009,Abrantes,Município,Menos de 25 anos,,, pessoas,,331.1
2009,Abrantes,Município,Total,,, pessoas,,2164.1
2009,Águeda,Município,25-34,,, pessoas,,479.7
2009,Águeda,Município,35-44,,, pessoas,,422.2
2009,Águeda,Município,45-54,,, pessoas,,435.6
2009,Águeda,Município,55 ou mais anos,,, pessoas,,428.1
2009,Águeda,Município,Menos de 25 anos,,, pessoas,,318.8
2009,Águeda,Município,Total,,, pessoas,,2084.3
2009,Aguiar da Beira,Município,25-34,,, pessoas,,33.7
2009,Aguiar da Beira,Município,35-44,,, pessoas,,35.8
2009,Aguiar da Beira,Município,45-54,,, pessoas,,47.4
2009,Aguiar da Beira,Município,55 ou mais anos,,, pessoas,,29.3
2009,Aguiar da Beira,Município,Menos de 25 anos,,, pessoas,,22.0
2009,Aguiar da Beira,Município,Total,,, pessoas,,168.1
2009,Alandroal,Município,25-34,,, pessoas,,53.6
2009,Alandroal,Município,35-44,,, pessoas,,45.3
2009,Alandroal,Município,45-54,,, pessoas,,52.8
2009,Alandroal,Município,55 ou mais anos,,, pessoas,,52.8
2009,Alandroal,Município,Menos de 25 anos,,, pessoas,,36.5
2009,Alandroal,Município,Total,,, pessoas,,240.8
2009,Albergaria-a-Velha,Município,25-34,,, pessoas,,267.3
2009,Albergaria-a-Velha,Município,35-44,,, pessoas,,255.8
2009,Albergaria-a-Velha,Município,45-54,,, pessoas,,251.9
2009,Albergaria-a-Velha,Município,55 ou mais anos,,, pessoas,,202.7
2009,Albergaria-a-Velha,Município,Menos de 25 anos,,, pessoas,,176.3
2009,Albergaria-a-Velha,Município,Total,,, pessoas,,1153.9
2009,Albufeira,Município,25-34,,, pessoas,,649.5
2009,Albufeira,Município,35-44,,, pessoas,,621.9
2009,Albufeira,Município,45-54,,, pessoas,,493.3
2009,Albufeira,Município,55 ou mais anos,,, pessoas,,246.0
2009,Albufeira,Município,Menos de 25 anos,,, pessoas,,281.3
2009,Albufeira,Município,Total,,, pessoas,,2292.0
2009,Alcácer do Sal,Município,25-34,,, pessoas,,110.6
2009,Alcácer do Sal,Município,35-44,,, pessoas,,72.3
2009,Alcácer do Sal,Município,45-54,,, pessoas,,85.5
2009,Alcácer do Sal,Município,55 ou mais anos,,, pessoas,,80.0
2009,Alcácer do Sal,Município,Menos de 25 anos,,, pessoas,,81.8
2009,Alcácer do Sal,Município,Total,,, pessoas,,430.1
2009,Alcanena,Município,25-34,,, pessoas,,115.8
2009,Alcanena,Município,35-44,,, pessoas,,110.1
2009,Alcanena,Município,45-54,,, pessoas,,83.3
2009,Alcanena,Município,55 ou mais anos,,, pessoas,,78.5
2009,Alcanena,Município,Menos de 25 anos,,, pessoas,,77.4
2009,Alcanena,Município,Total,,, pessoas,,465.1
2009,Alcobaça,Município,25-34,,, pessoas,,552.9
2009,Alcobaça,Município,35-44,,, pessoas,,508.0
2009,Alcobaça,Município,45-54,,, pessoas,,539.1
2009,Alcobaça,Município,55 ou mais anos,,, pessoas,,525.4
2009,Alcobaça,Município,Menos de 25 anos,,, pessoas,,309.7
2009,Alcobaça,Município,Total,,, pessoas,,2435.1
2009,Alcochete,Município,25-34,,, pessoas,,146.8
2009,Alcochete,Município,35-44,,, pessoas,,136.3
2009,Alcochete,Município,45-54,,, pessoas,,131.5
2009,Alcochete,Município,55 ou mais anos,,, pessoas,,90.8
2009,Alcochete,Município,Menos de 25 anos,,, pessoas,,73.1
2009,Alcochete,Município,Total,,, pessoas,,578.6
2009,Alcoutim,Município,25-34,,, pessoas,,8.8
2009,Alcoutim,Município,35-44,,, pessoas,,7.9
2009,Alcoutim,Município,45-54,,, pessoas,,7.6
2009,Alcoutim,Município,55 ou mais anos,,, pessoas,,7.4
2009,Alcoutim,Município,Menos de 25 anos,,, pessoas,,3.9
2009,Alcoutim,Município,Total,,, pessoas,,35.6
2009,Alenquer,Município,25-34,,, pessoas,,522.4
2009,Alenquer,Município,35-44,,, pessoas,,452.7
2009,Alenquer,Município,45-54,,, pessoas,,385.5
2009,Alenquer,Município,55 ou mais anos,,, pessoas,,292.8
2009,Alenquer,Município,Menos de 25 anos,,, pessoas,,246.8
2009,Alenquer,Município,Total,,, pessoas,,1900.2
2009,Alfândega da Fé,Município,25-34,,, pessoas,,39.6
2009,Alfândega da Fé,Município,35-44,,, pessoas,,59.0
2009,Alfândega da Fé,Município,45-54,,, pessoas,,68.7
2009,Alfândega da Fé,Município,55 ou mais anos,,, pessoas,,50.1
2009,Alfândega da Fé,Município,Menos de 25 anos,,, pessoas,,28.0
2009,Alfândega da Fé,Município,Total,,, pessoas,,245.3
2009,Alijó,Município,25-34,,, pessoas,,148.6
2009,Alijó,Município,35-44,,, pessoas,,126.2
2009,Alijó,Município,45-54,,, pessoas,,147.2
2009,Alijó,Município,55 ou mais anos,,, pessoas,,105.5
2009,Alijó,Município,Menos de 25 anos,,, pessoas,,97.4
2009,Alijó,Município,Total,,, pessoas,,624.8
2009,Aljezur,Município,25-34,,, pessoas,,34.9
2009,Aljezur,Município,35-44,,, pessoas,,32.9
2009,Aljezur,Município,45-54,,, pessoas,,23.0
2009,Aljezur,Município,55 ou mais anos,,, pessoas,,18.9
2009,Aljezur,Município,Menos de 25 anos,,, pessoas,,20.8
2009,Aljezur,Município,Total,,, pessoas,,130.5
2009,Aljustrel,Município,25-34,,, pessoas,,93.7
2009,Aljustrel,Município,35-44,,, pessoas,,93.0
2009,Aljustrel,Município,45-54,,, pessoas,,83.7
2009,Aljustrel,Município,55 ou mais anos,,, pessoas,,60.0
2009,Aljustrel,Município,Menos de 25 anos,,, pessoas,,52.2
2009,Aljustrel,Município,Total,,, pessoas,,382.5
2009,Almada,Município,25-34,,, pessoas,,1685.3
2009,Almada,Município,35-44,,, pessoas,,1598.8
2009,Almada,Município,45-54,,, pessoas,,1519.8
2009,Almada,Município,55 ou mais anos,,, pessoas,,1291.4
2009,Almada,Município,Menos de 25 anos,,, pessoas,,708.8
2009,Almada,Município,Total,,, pessoas,,6803.9
2009,Almeida,Município,25-34,,, pessoas,,30.5
2009,Almeida,Município,35-44,,, pessoas,,35.9
2009,Almeida,Município,45-54,,, pessoas,,37.0
2009,Almeida,Município,55 ou mais anos,,, pessoas,,38.3
2009,Almeida,Município,Menos de 25 anos,,, pessoas,,16.5
2009,Almeida,Município,Total,,, pessoas,,158.3
2009,Almeirim,Município,25-34,,, pessoas,,239.8
2009,Almeirim,Município,35-44,,, pessoas,,195.3
2009,Almeirim,Município,45-54,,, pessoas,,195.3
2009,Almeirim,Município,55 ou mais anos,,, pessoas,,272.8
2009,Almeirim,Município,Menos de 25 anos,,, pessoas,,99.1
2009,Almeirim,Município,Total,,, pessoas,,1002.4
2009,Almodôvar,Município,25-34,,, pessoas,,85.7
2009,Almodôvar,Município,35-44,,, pessoas,,76.9
2009,Almodôvar,Município,45-54,,, pessoas,,102.8
2009,Almodôvar,Município,55 ou mais anos,,, pessoas,,149.8
2009,Almodôvar,Município,Menos de 25 anos,,, pessoas,,67.7
2009,Almodôvar,Município,Total,,, pessoas,,482.9
2009,Alpiarça,Município,25-34,,, pessoas,,60.8
2009,Alpiarça,Município,35-44,,, pessoas,,56.8
2009,Alpiarça,Município,45-54,,, pessoas,,64.8
2009,Alpiarça,Município,55 ou mais anos,,, pessoas,,112.4
2009,Alpiarça,Município,Menos de 25 anos,,, pessoas,,33.8
2009,Alpiarça,Município,Total,,, pessoas,,328.4
2009,Alter do Chão,Município,25-34,,, pessoas,,39.8
2009,Alter do Chão,Município,35-44,,, pessoas,,28.8
2009,Alter do Chão,Município,45-54,,, pessoas,,18.0
2009,Alter do Chão,Município,55 ou mais anos,,, pessoas,,17.9
2009,Alter do Chão,Município,Menos de 25 anos,,, pessoas,,25.7
2009,Alter do Chão,Município,Total,,, pessoas,,130.2
2009,Alvaiázere,Município,25-34,,, pessoas,,58.8
2009,Alvaiázere,Município,35-44,,, pessoas,,46.0
2009,Alvaiázere,Município,45-54,,, pessoas,,46.6
2009,Alvaiázere,Município,55 ou mais anos,,, pessoas,,41.3
2009,Alvaiázere,Município,Menos de 25 anos,,, pessoas,,41.8
2009,Alvaiázere,Município,Total,,, pessoas,,234.4
2009,Alvito,Município,25-34,,, pessoas,,19.5
2009,Alvito,Município,35-44,,, pessoas,,13.8
2009,Alvito,Município,45-54,,, pessoas,,13.2
2009,Alvito,Município,55 ou mais anos,,, pessoas,,16.1
2009,Alvito,Município,Menos de 25 anos,,, pessoas,,13.3
2009,Alvito,Município,Total,,, pessoas,,75.8
2009,Amadora,Município,25-34,,, pessoas,,2017.1
2009,Amadora,Município,35-44,,, pessoas,,1931.8
2009,Amadora,Município,45-54,,, pessoas,,1904.2
2009,Amadora,Município,55 ou mais anos,,, pessoas,,1807.8
2009,Amadora,Município,Menos de 25 anos,,, pessoas,,869.2
2009,Amadora,Município,Total,,, pessoas,,8530.0
2009,Amarante,Município,25-34,,, pessoas,,783.4
2009,Amarante,Município,35-44,,, pessoas,,983.1
2009,Amarante,Município,45-54,,, pessoas,,834.6
2009,Amarante,Município,55 ou mais anos,,, pessoas,,597.5
2009,Amarante,Município,Menos de 25 anos,,, pessoas,,582.5
2009,Amarante,Município,Total,,, pessoas,,3781.1
2009,Amares,Município,25-34,,, pessoas,,240.1
2009,Amares,Município,35-44,,, pessoas,,215.3
2009,Amares,Município,45-54,,, pessoas,,195.1
2009,Amares,Município,55 ou mais anos,,, pessoas,,141.3
2009,Amares,Município,Menos de 25 anos,,, pessoas,,123.0
2009,Amares,Município,Total,,, pessoas,,914.8
2009,Anadia,Município,25-34,,, pessoas,,263.3
2009,Anadia,Município,35-44,,, pessoas,,208.1
2009,Anadia,Município,45-54,,, pessoas,,231.8
2009,Anadia,Município,55 ou mais anos,,, pessoas,,222.1
2009,Anadia,Município,Menos de 25 anos,,, pessoas,,158.6
2009,Anadia,Município,Total,,, pessoas,,1083.9
2009,Angra do Heroísmo,Município,25-34,,, pessoas,x,
2009,Angra do Heroísmo,Município,35-44,,, pessoas,x,
2009,Angra do Heroísmo,Município,45-54,,, pessoas,x,
2009,Angra do Heroísmo,Município,55 ou mais anos,,, pessoas,x,
2009,Angra do Heroísmo,Município,Menos de 25 anos,,, pessoas,x,
2009,Angra do Heroísmo,Município,Total,,, pessoas,x,
2009,Ansião,Município,25-34,,, pessoas,,104.2
2009,Ansião,Município,35-44,,, pessoas,,100.3
2009,Ansião,Município,45-54,,, pessoas,,115.8
2009,Ansião,Município,55 ou mais anos,,, pessoas,,131.3
2009,Ansião,Município,Menos de 25 anos,,, pessoas,,78.8
2009,Ansião,Município,Total,,, pessoas,,530.4
2009,Arcos de Valdevez,Município,25-34,,, pessoas,,182.2
2009,Arcos de Valdevez,Município,35-44,,, pessoas,,165.0
2009,Arcos de Valdevez,Município,45-54,,, pessoas,,171.8
2009,Arcos de Valdevez,Município,55 ou mais anos,,, pessoas,,110.3
2009,Arcos de Valdevez,Município,Menos de 25 anos,,, pessoas,,161.8
2009,Arcos de Valdevez,Município,Total,,, pessoas,,790.9
2009,Arganil,Município,25-34,,, pessoas,,82.8
2009,Arganil,Município,35-44,,, pessoas,,81.0
2009,Arganil,Município,45-54,,, pessoas,,89.7
2009,Arganil,Município,55 ou mais anos,,, pessoas,,69.2
2009,Arganil,Município,Menos de 25 anos,,, pessoas,,59.8
2009,Arganil,Município,Total,,, pessoas,,382.3
2009,Armamar,Município,25-34,,, pessoas,,59.8
2009,Armamar,Município,35-44,,, pessoas,,64.3
2009,Armamar,Município,45-54,,, pessoas,,60.8
2009,Armamar,Município,55 ou mais anos,,, pessoas,,39.6
2009,Armamar,Município,Menos de 25 anos,,, pessoas,,40.3
2009,Armamar,Município,Total,,, pessoas,,264.9
2009,Arouca,Município,25-34,,, pessoas,,153.1
2009,Arouca,Município,35-44,,, pessoas,,146.4
2009,Arouca,Município,45-54,,, pessoas,,159.5
2009,Arouca,Município,55 ou mais anos,,, pessoas,,108.0
2009,Arouca,Município,Menos de 25 anos,,, pessoas,,143.0
2009,Arouca,Município,Total,,, pessoas,,710.0
2009,Arraiolos,Município,25-34,,, pessoas,,52.5
2009,Arraiolos,Município,35-44,,, pessoas,,52.2
2009,Arraiolos,Município,45-54,,, pessoas,,42.6
2009,Arraiolos,Município,55 ou mais anos,,, pessoas,,47.6
2009,Arraiolos,Município,Menos de 25 anos,,, pessoas,,42.2
2009,Arraiolos,Município,Total,,, pessoas,,237.0
2009,Arronches,Município,25-34,,, pessoas,,27.5
2009,Arronches,Município,35-44,,, pessoas,,20.3
2009,Arronches,Município,45-54,,, pessoas,,17.8
2009,Arronches,Município,55 ou mais anos,,, pessoas,,14.8
2009,Arronches,Município,Menos de 25 anos,,, pessoas,,21.2
2009,Arronches,Município,Total,,, pessoas,,101.6
2009,Arruda dos Vinhos,Município,25-34,,, pessoas,,105.2
2009,Arruda dos Vinhos,Município,35-44,,, pessoas,,80.2
2009,Arruda dos Vinhos,Município,45-54,,, pessoas,,65.3
2009,Arruda dos Vinhos,Município,55 ou mais anos,,, pessoas,,60.8
2009,Arruda dos Vinhos,Município,Menos de 25 anos,,, pessoas,,46.8
2009,Arruda dos Vinhos,Município,Total,,, pessoas,,358.3
2009,Aveiro,Município,25-34,,, pessoas,,1040.4
2009,Aveiro,Município,35-44,,, pessoas,,771.5
2009,Aveiro,Município,45-54,,, pessoas,,726.5
2009,Aveiro,Município,55 ou mais anos,,, pessoas,,508.3
2009,Aveiro,Município,Menos de 25 anos,,, pessoas,,604.7
2009,Aveiro,Município,Total,,, pessoas,,3651.3
2009,Avis,Município,25-34,,, pessoas,,44.7
2009,Avis,Município,35-44,,, pessoas,,45.0
2009,Avis,Município,45-54,,, pessoas,,51.9
2009,Avis,Município,55 ou mais anos,,, pessoas,,56.6
2009,Avis,Município,Menos de 25 anos,,, pessoas,,34.2
2009,Avis,Município,Total,,, pessoas,,232.3
2009,Azambuja,Município,25-34,,, pessoas,,258.6
2009,Azambuja,Município,35-44,,, pessoas,,205.1
2009,Azambuja,Município,45-54,,, pessoas,,206.1
2009,Azambuja,Município,55 ou mais anos,,, pessoas,,199.5
2009,Azambuja,Município,Menos de 25 anos,,, pessoas,,111.3
2009,Azambuja,Município,Total,,, pessoas,,980.5
2009,Baião,Município,25-34,,, pessoas,,399.3
2009,Baião,Município,35-44,,, pessoas,,480.6
2009,Baião,Município,45-54,,, pessoas,,401.1
2009,Baião,Município,55 ou mais anos,,, pessoas,,198.7
2009,Baião,Município,Menos de 25 anos,,, pessoas,,279.6
2009,Baião,Município,Total,,, pessoas,,1759.2
2009,Barcelos,Município,25-34,,, pessoas,,876.9
2009,Barcelos,Município,35-44,,, pessoas,,999.7
2009,Barcelos,Município,45-54,,, pessoas,,1273.7
2009,Barcelos,Município,55 ou mais anos,,, pessoas,,1256.6
2009,Barcelos,Município,Menos de 25 anos,,, pessoas,,620.1
2009,Barcelos,Município,Total,,, pessoas,,5026.9
2009,Barrancos,Município,25-34,,, pessoas,,14.3
2009,Barrancos,Município,35-44,,, pessoas,,29.1
2009,Barrancos,Município,45-54,,, pessoas,,17.3
2009,Barrancos,Município,55 ou mais anos,,, pessoas,,13.8
2009,Barrancos,Município,Menos de 25 anos,,, pessoas,,16.2
2009,Barrancos,Município,Total,,, pessoas,,90.5
2009,Barreiro,Município,25-34,,, pessoas,,1021.3
2009,Barreiro,Município,35-44,,, pessoas,,942.8
2009,Barreiro,Município,45-54,,, pessoas,,857.8
2009,Barreiro,Município,55 ou mais anos,,, pessoas,,706.8
2009,Barreiro,Município,Menos de 25 anos,,, pessoas,,458.1
2009,Barreiro,Município,Total,,, pessoas,,3986.7
2009,Batalha,Município,25-34,,, pessoas,,124.4
2009,Batalha,Município,35-44,,, pessoas,,79.7
2009,Batalha,Município,45-54,,, pessoas,,113.1
2009,Batalha,Município,55 ou mais anos,,, pessoas,,112.1
2009,Batalha,Município,Menos de 25 anos,,, pessoas,,65.7
2009,Batalha,Município,Total,,, pessoas,,494.9
2009,Beja,Município,25-34,,, pessoas,,389.3
2009,Beja,Município,35-44,,, pessoas,,268.2
2009,Beja,Município,45-54,,, pessoas,,203.4
2009,Beja,Município,55 ou mais anos,,, pessoas,,148.5
2009,Beja,Município,Menos de 25 anos,,, pessoas,,211.3
2009,Beja,Município,Total,,, pessoas,,1220.8
2009,Belmonte,Município,25-34,,, pessoas,,98.0
2009,Belmonte,Município,35-44,,, pessoas,,77.8
2009,Belmonte,Município,45-54,,, pessoas,,72.3
2009,Belmonte,Município,55 ou mais anos,,, pessoas,,53.8
2009,Belmonte,Município,Menos de 25 anos,,, pessoas,,54.2
2009,Belmonte,Município,Total,,, pessoas,,356.1
2009,Benavente,Município,25-34,,, pessoas,,325.1
2009,Benavente,Município,35-44,,, pessoas,,339.8
2009,Benavente,Município,45-54,,, pessoas,,257.4
2009,Benavente,Município,55 ou mais anos,,, pessoas,,205.6
2009,Benavente,Município,Menos de 25 anos,,, pessoas,,200.2
2009,Benavente,Município,Total,,, pessoas,,1328.0
2009,Bombarral,Município,25-34,,, pessoas,,122.8
2009,Bombarral,Município,35-44,,, pessoas,,103.9
2009,Bombarral,Município,45-54,,, pessoas,,108.6
2009,Bombarral,Município,55 ou mais anos,,, pessoas,,81.3
2009,Bombarral,Município,Menos de 25 anos,,, pessoas,,70.3
2009,Bombarral,Município,Total,,, pessoas,,486.8
2009,Borba,Município,25-34,,, pessoas,,70.4
2009,Borba,Município,35-44,,, pessoas,,62.3
2009,Borba,Município,45-54,,, pessoas,,66.5
2009,Borba,Município,55 ou mais anos,,, pessoas,,37.2
2009,Borba,Município,Menos de 25 anos,,, pessoas,,59.0
2009,Borba,Município,Total,,, pessoas,,295.3
2009,Boticas,Município,25-34,,, pessoas,,41.9
2009,Boticas,Município,35-44,,, pessoas,,43.4
2009,Boticas,Município,45-54,,, pessoas,,45.6
2009,Boticas,Município,55 ou mais anos,,, pessoas,,41.3
2009,Boticas,Município,Menos de 25 anos,,, pessoas,,32.8
2009,Boticas,Município,Total,,, pessoas,,205.0
2009,Braga,Município,25-34,,, pessoas,,2350.3
2009,Braga,Município,35-44,,, pessoas,,1996.8
2009,Braga,Município,45-54,,, pessoas,,2264.1
2009,Braga,Município,55 ou mais anos,,, pessoas,,1846.4
2009,Braga,Município,Menos de 25 anos,,, pessoas,,1112.5
